attribute;code;sort_order;label-fr_FR;label-en_US
attr_2;attr_opt_attr_20;2;"Perferendis dicta.";"Recusandae saepe rerum."
attr_2;attr_opt_attr_21;2;"Dicta est voluptatem.";"Sint exercitationem."
attr_2;attr_opt_attr_22;9;"Enim blanditiis.";"Quas iste ipsum."
attr_2;attr_opt_attr_23;6;"Quia ea quos.";"Asperiores nulla aspernatur."
attr_2;attr_opt_attr_24;10;"Harum sit quis.";"Corporis facilis."
attr_2;attr_opt_attr_25;1;"Ipsam reiciendis sit.";"Voluptatum qui."
attr_2;attr_opt_attr_26;8;"Sit sunt libero.";"Qui repudiandae."
attr_2;attr_opt_attr_27;6;"Est exercitationem culpa.";"Mollitia eligendi."
attr_2;attr_opt_attr_28;6;"Id aut.";"Quae rerum."
attr_2;attr_opt_attr_29;2;"Numquam quo ad.";"Est voluptatum."
attr_7;attr_opt_attr_70;10;"In et eaque.";"Ut eligendi."
attr_7;attr_opt_attr_71;1;"Tempora enim.";"Eveniet sequi qui."
attr_7;attr_opt_attr_72;5;"Consequatur necessitatibus quo.";"Dolores rerum incidunt."
attr_7;attr_opt_attr_73;7;"Impedit qui.";"Sapiente libero."
attr_7;attr_opt_attr_74;6;"Similique eaque reprehenderit.";"Quo voluptatibus."
attr_7;attr_opt_attr_75;9;"Quisquam est.";"Libero voluptas ut."
attr_7;attr_opt_attr_76;5;"Rerum quo perferendis.";"Autem accusamus dolorem."
attr_7;attr_opt_attr_77;1;"Soluta modi.";"Delectus consequatur facilis."
attr_7;attr_opt_attr_78;7;"Iusto est.";"Ex sapiente omnis."
attr_7;attr_opt_attr_79;10;"Voluptatem rerum perspiciatis.";"Vero beatae."
attr_8;attr_opt_attr_80;3;"Omnis excepturi.";"Molestias voluptatem quia."
attr_8;attr_opt_attr_81;3;"Reprehenderit quia.";"In aut."
attr_8;attr_opt_attr_82;9;"Neque quisquam.";"Voluptatem assumenda."
attr_8;attr_opt_attr_83;2;"Impedit quaerat.";"Similique ipsa qui."
attr_8;attr_opt_attr_84;6;"Dolorem labore.";"Dolores delectus aut."
attr_8;attr_opt_attr_85;9;"Quia deserunt quibusdam.";"Sapiente repudiandae."
